"ts_code","symbol","name","area","industry","market","list_date"
"600000.SH","600000","浦发银行","上海","银行","主板","19991110"
"600004.SH","600004","白云机场","广东","机场","主板","20030428"
"600006.SH","600006","东风汽车","湖北","汽车整车","主板","19990727"
"600007.SH","600007","中国国贸","北京","园区开发","主板","19990312"
"600008.SH","600008","首创环保","北京","环境保护","主板","20000427"
"600009.SH","600009","上海机场","上海","机场","主板","19980218"
"600010.SH","600010","包钢股份","内蒙","普钢","主板","20010309"
"600011.SH","600011","华能国际","北京","火力发电","主板","20011206"
"600012.SH","600012","皖通高速","安徽","路桥","主板","20030107"
"600015.SH","600015","华夏银行","北京","银行","主板","20030912"
"600016.SH","600016","民生银行","北京","银行","主板","20001219"
"600017.SH","600017","日照港","山东","港口","主板","20061017"
"600018.SH","600018","上港集团","上海","港口","主板","20061026"
"600019.SH","600019","宝钢股份","上海","普钢","主板","20001212"
"600020.SH","600020","中原高速","河南","路桥","主板","20030808"
"600021.SH","600021","上海电力","上海","火力发电","主板","20031029"
"600022.SH","600022","山东钢铁","山东","普钢","主板","20040629"
"600023.SH","600023","浙能电力","浙江","火力发电","主板","20131219"
"600025.SH","600025","华能水电","云南","水力发电","主板","20171215"
"600026.SH","600026","中远海能","上海","水运","主板","20020523"
"600027.SH","600027","华电国际","山东","火力发电","主板","20050203"
"600028.SH","600028","中国石化","北京","石油加工","主板","20010808"
"600029.SH","600029","南方航空","广东","空运","主板","20030725"
"600030.SH","600030","中信证券","深圳","证券","主板","20030106"
"600031.SH","600031","三一重工","北京","工程机械","主板","20030703"
"600032.SH","600032","浙江新能","浙江","新型电力","主板","20210525"
"600033.SH","600033","福建高速","福建","路桥","主板","20010209"
"600035.SH","600035","楚天高速","湖北","路桥","主板","20040310"
"600036.SH","600036","招商银行","深圳","银行","主板","20020409"
"600037.SH","600037","歌华有线","北京","影视音像","主板","20010208"
"600038.SH","600038","中直股份","黑龙江","航空","主板","20001218"
"600039.SH","600039","四川路桥","四川","建筑工程","主板","20030325"
"600048.SH","600048","保利地产","广东","全国地产","主板","20060731"
"600050.SH","600050","中国联通","北京","电信运营","主板","20021009"
"600051.SH","600051","宁波联合","浙江","综合类","主板","19970410"
"600052.SH","600052","浙江广厦","浙江","影视音像","主板","19970415"
"600053.SH","600053","九鼎投资","江西","多元金融","主板","19970418"
"600054.SH","600054","黄山旅游","安徽","旅游景点","主板","19970506"
"600055.SH","600055","万东医疗","北京","医疗保健","主板","19970519"
"600056.SH","600056","中国医药","北京","医药商业","主板","19970515"
"600057.SH","600057","厦门象屿","福建","仓储物流","主板","19970604"
"600058.SH","600058","五矿发展","北京","商贸代理","主板","19970528"
